idTempsPasse,idAffaire
285002,
285003,
285004,
285192,29966.0
285193,29966.0
285194,29966.0
285200,29966.0
285201,29966.0
285202,29966.0
285203,41744.0
285204,41853.0
285205,41516.0
285206,41744.0
285207,41851.0
285208,41668.0
285209,41943.0
285210,41959.0
285211,41961.0
285212,41854.0
285213,34544.0
285214,41935.0
285215,29966.0
285216,41935.0
285217,41725.0
285218,41683.0
285219,41970.0
285220,41736.0
285221,41579.0
285222,41783.0
285227,
285228,29966.0
285229,41588.0
285230,41858.0
285231,41457.0
285232,41211.0
285233,41211.0
285234,41193.0
285235,41919.0
285236,41918.0
285237,41919.0
285238,41866.0
285239,41813.0
285240,41918.0
285241,41962.0
285242,41833.0
285243,41949.0
285245,41833.0
285246,41949.0
285247,41833.0
285248,41563.0
285249,41912.0
285250,41737.0
285251,41847.0
285252,41563.0
285253,41856.0
285254,41911.0
285255,41911.0
285267,41876.0
285268,41473.0
285269,41647.0
285270,41876.0
285271,41876.0
285272,41869.0
285273,41836.0
285274,41901.0
285275,41981.0
285339,41964.0
285340,41836.0
285341,41836.0
285342,41869.0
285343,41869.0
285344,41836.0
285345,41901.0
285346,29966.0
285347,41836.0
285348,41901.0
285349,41981.0
285350,41953.0
285396,40181.0
